IX_Position,Row,UPC,Name,Wide,High,Deep,X,Y,Z,Full height,Full width,Full depth
1,1,7261345502,SNUGGLE_SHEETS_BASE_BLUE IRIS & OCEAN BREEZE_70 LOAD 70 COUNT,1,2,10,199.9125,69.27,2.2,4.04,7.4,2.28
2,2,7261346679,Snuggle Super Fresh Beads,2,1,9,144,69,0.7,10,3.4,2.7
3,3,7261373872,SNUGGLE SCENT SHAKES SPR FR ORIG 9OZ,2,1,9,151.018571,69,0.07,7.63,2.77,2.77
4,4,7261346680,Snuggle Super Fresh Beads Pink,2,1,9,156.777143,69,0.7,10,3.4,2.7
5,5,7261373875,SNUGGLE SCENT SHAKES SPR FR SPR BURST 9O,2,1,9,163.795714,69,0.07,7.63,2.77,2.77
6,6,7261373877,SNUGGLE SCENT SHAKES BLUE SPARKLE 9OZ,2,1,9,169.554286,69,0.07,7.63,2.77,2.77
7,7,3320000416,A&H IN WASH FRESHNESS ODOR BLASTER 18OZ,2,1,11,175.312857,69,0.36,9.14,3.25,2.24
8,8,3320000144,A&H INWASH BOOSTER PURIFYING WATERS 18OZ,2,1,11,182.031429,69,0.36,9.14,3.25,2.24
9,9,3320000145,A&H INWASH BOOSTER TROP PARADISE 18OZ,1,1,11,188.75,69,0.36,9.14,3.25,2.24
10,10,7261346309,SNUGGLE PLUS SUPERFRESH 9  70CT  46309,1,2,12,192,69,1,4.04,8.425,2
11,11,7261346097,SNUGGLE_SHEETS_BASE_ISLAND HIBISCUS & RAIN FLOWER_70 LOAD 70 COUNT,1,2,12,207.825,69,1,4.04,8.315,2
12,12,7261345120,SNUGGLE SHEETS EXHIL LAVENDER&SANDALWOOD,1,2,10,216.14,69,2.2,4.04,8.425,2.28
13,13,7261345119,SNUGGLE BLUE SPARKLE SHEETS 230 CT  4511,1,2,5,224.565,69,3.1,4.29,8.315,4.38
14,14,7261345115,SNUGGLE_SHEETS_BASE_BLUE SPARKLE_120 LOAD 120 COUNT,1,2,13,232.88,69,0.69,4.2,8.145,1.87
15,15,3700021074,DWY LFE INF LVDR  83LD CALM 56 oz Lavender & Vanilla Bean,1,1,6,0,64,2.56,11.16,6.3,3.74
16,16,3700098791,DOWNY CALM 48 LOAD 32 oz Lavender & Vanilla Bean,1,1,7,6.811579,64,3.02,10.75,5.32,3.14
17,17,3700079089,DOWNY INFUSIONS LAV SER 8.6 OZ,1,1,8,12.643158,64,0.76,9.37,3.03,3.03
18,18,3700083561,DWY SHT INF LVNDR SRNTY 9/105CT,1,1,10,16.184737,64,1,7.09,4.29,2.4
19,19,3700025007,DOWNY BLISS 83 LOAD 56 OZ Sparkling Amber & Rose,1,1,6,20.986316,64,2.56,11.16,6.3,3.74
20,20,3700012763,DOWNY BLISS 48 LOAD 32 oz,1,1,7,27.797895,64,3.02,10.75,5.32,3.14
21,21,3700079030,DOWNY INFUSIONS AMBER BLOSSOM 8.6 OZ,1,1,8,33.629474,64,0.76,9.37,3.03,3.03
22,22,3700095284,DOWNY 90 CT BLISS  SHEETS Sparkling Amber & Rose,1,1,11,37.171053,64,1.57,7.09,4.29,2.13
23,23,3700035762,DOWNY April Fresh 60 load 51 oz,2,1,6,41.972632,64,2.8,10.79,5.47,3.7
24,24,3700039300,DOWNY LQ CB 8/51Z 60LD,1,1,6,53.424211,64,2.74,10.78,5.47,3.71
25,25,037000754886,Downy Cool Cotton 51 oz 60 load,2,1,6,59.405789,64,2.74,10.78,5.47,3.71
26,26,DownyRinseUN44,Downy Rinse Unscented,2,1,8,70.857368,64,2.28,11.02,4.8,2.84
27,27,DreftRinseUn,Dreft Rinse Unscented,1,1,8,80.968947,64,2.28,11.02,4.8,2.84
28,28,DreftRinseBF,Dreft Rinse Flower Baby,1,1,8,86.280526,64,2.28,11.02,4.8,2.84
29,29,7261346655,SNUGGLE PLUS SPRING BURST,1,1,9,91.592105,64,0.7,10.25,4.85,2.7
30,30,7261346303,SNUGGLE PLUS SUPERFRESH 9 32 OZ 46303,1,1,10,96.953684,64,0,9.75,5,2.5
31,31,7261345195,SNUGGLE LQ EXHIL WHITE LAVENDER & SANDAL,2,1,9,102.465263,64,0.7,10.05,5,2.7
32,32,7261346093,SNUGGLE_LIQUID_BASE_ISLAND HIBISCUS & RAIN FLOWER_32 LOAD 32 OUNCES,1,1,9,112.976842,64,0.7,10.05,5,2.7
33,33,7261345514,SNUGGLE LQ BLUE SPARKLE 40 LD,2,1,7,118.488421,64,1.55,9.35,5,3.35
34,34,0007261345719,SNGGL BLU SPRKL FAB SFTNR,2,1,4,129,64,3.08,10.48,7.5,5.48
35,35,3700038469,Bounce Wrinkle Spray,3,1,7,192,58,0.5,9.3,2.932857,3.5
36,36,3700090712,BOUNCE WRINKLE GUARD SHEET OUTDOOR FRESH 60 CT,2,2,12,200.798571,58,1,4.29,8.002857,2
37,37,3700090715,Bounce wrinkle guard 60 count unscented,1,2,12,216.804286,58,1,4.29,8.002857,2
38,38,3700057574,Bounce Sheets Pet Hair & Lint Guard Unscented,1,2,7,224.807143,58,0.78,4.25,8.062857,3.46
39,39,3700057070,Bounce Sheets Pet Hair & Lint Guard Fresh Scent,1,2,7,232.87,58,0.78,4.25,8.062857,3.46
